x,doi
http://vivo.ufl.edu/individual/n2440352465,10.1177/0009922808323907
http://vivo.ufl.edu/individual/n7571677251,10.1111/j.1553-2712.2012.01448.x
http://vivo.ufl.edu/individual/n5932205483,10.1128/CMR.00008-08
http://vivo.ufl.edu/individual/n985110606,10.1128/MCB.06248-11
http://vivo.ufl.edu/individual/n9298566602,10.1603/ME11106
http://vivo.ufl.edu/individual/n7404586888,10.5091/plecevo.2013.783
http://vivo.ufl.edu/individual/n9448876406,10.1080/13554794.2012.713490
http://vivo.ufl.edu/individual/n582234773,10.1016/j.ahj.2008.06.006
http://vivo.ufl.edu/individual/n7287769650,10.1016/j.ahj.2008.06.006
http://vivo.ufl.edu/individual/n6855984051,10.1016/j.apenergy.2014.05.038
http://vivo.ufl.edu/individual/n8022064799,10.1021/om901112n
http://vivo.ufl.edu/individual/n1854800889,10.1080/10643389.2010.530932
http://vivo.ufl.edu/individual/n5412244510,10.4161/cc.8.14.9101
http://vivo.ufl.edu/individual/n6747600033,10.1016/j.ecolmodel.2011.03.021
http://vivo.ufl.edu/individual/n4976038232,10.1080/15205430701590267
http://vivo.ufl.edu/individual/n5265029520,10.1007/JHEP11(2015)117
http://vivo.ufl.edu/individual/n4532530404,10.1002/dc.21241
http://vivo.ufl.edu/individual/n344621569,10.1016/j.ympev.2010.01.010
http://vivo.ufl.edu/individual/n8479220832,10.4315/0362-028X.JFP-14-254
http://vivo.ufl.edu/individual/n2636005067,10.1007/s10816-008-9055-7
http://vivo.ufl.edu/individual/n3416438880,10.1021/ic302021a
http://vivo.ufl.edu/individual/n5701066332,10.1055/s-0031-1300953
http://vivo.ufl.edu/individual/n5903074348,10.1242/jeb.061085
http://vivo.ufl.edu/individual/n1076822533,10.1016/j.jbiomech.2008.05.026
http://vivo.ufl.edu/individual/n571924618,10.1073/pnas.1109261108
http://vivo.ufl.edu/individual/n8685811123,10.3389/fnhum.2015.00246
http://vivo.ufl.edu/individual/n2630530694,10.1016/j.ejor.2008.09.017
http://vivo.ufl.edu/individual/n1533074759,10.1016/j.ijimpeng.2011.10.001
http://vivo.ufl.edu/individual/n8222891091,10.1007/s11605-013-2387-y
http://vivo.ufl.edu/individual/n8768351725,10.1063/1.3460273
http://vivo.ufl.edu/individual/n8493204938,10.1007/s12311-009-0126-4
http://vivo.ufl.edu/individual/n8670378161,10.1007/s11664-007-0326-y
http://vivo.ufl.edu/individual/n9331966312,10.1016/j.neuroimage.2013.10.008
http://vivo.ufl.edu/individual/n9145676629,10.1242/jeb.013672
http://vivo.ufl.edu/individual/n398072220,10.1038/cgt.2012.36
http://vivo.ufl.edu/individual/n5913714950,10.2134/jeq2009.0509
http://vivo.ufl.edu/individual/n6682200512,10.1016/j.amjcard.2013.09.003
http://vivo.ufl.edu/individual/n318056,10.1371/journal.pone.0005888
http://vivo.ufl.edu/individual/n325581008,10.1002/anie.201008053
http://vivo.ufl.edu/individual/n9280387586,10.1038/NGEO1707
http://vivo.ufl.edu/individual/n2882889352,10.1093/poq/nfp017
http://vivo.ufl.edu/individual/n3886268050,10.1080/07438141.2011.650835
http://vivo.ufl.edu/individual/n2992849509,10.1016/j.jviromet.2009.04.026
http://vivo.ufl.edu/individual/n567483247,10.1111/j.1548-1387.2008.00002.x
http://vivo.ufl.edu/individual/n2726789384,10.1016/j.nutres.2011.09.005
http://vivo.ufl.edu/individual/n4825646439,10.3732/ajb.1400178
http://vivo.ufl.edu/individual/n4720508730,10.1038/pr.2015.54
http://vivo.ufl.edu/individual/n3539094199,10.1007/s00222-008-0140-z
http://vivo.ufl.edu/individual/n4175015731,10.1103/PhysRevB.79.174521
http://vivo.ufl.edu/individual/n9391096654,10.1016/j.jenvman.2012.10.020
http://vivo.ufl.edu/individual/n6369403354,10.1016/j.canlet.2012.08.013
http://vivo.ufl.edu/individual/n9139173042,10.1109/TSP.2014.2373315
http://vivo.ufl.edu/individual/n4292533350,10.1371/journal.pone.0147230
http://vivo.ufl.edu/individual/n8270202818,10.1017/S0007114508027438
http://vivo.ufl.edu/individual/n7619338767,10.1109/TEMC.2011.2113350
http://vivo.ufl.edu/individual/n5388927233,10.1186/s12866-014-0260-0
http://vivo.ufl.edu/individual/n3747372885,10.1053/j.ajkd.2008.03.027
http://vivo.ufl.edu/individual/n5011375481,10.1111/j.1530-0277.2009.01036.x
http://vivo.ufl.edu/individual/n1276263768,10.1103/PhysRevB.81.214503
http://vivo.ufl.edu/individual/n3727793994,10.1111/jzo.12052
http://vivo.ufl.edu/individual/n5888237686,10.1126/science.1252753
http://vivo.ufl.edu/individual/n953648260,10.1016/j.cvsm.2003.12.005
http://vivo.ufl.edu/individual/n2548232322,10.1103/PhysRevD.92.076006
http://vivo.ufl.edu/individual/n477595734,10.1111/j.1469-8137.2008.02487.x
http://vivo.ufl.edu/individual/n2982760638,10.1038/nature09609
http://vivo.ufl.edu/individual/n174754770,10.1177/0363546504272267
http://vivo.ufl.edu/individual/n1895948984,10.1063/1.2939123
http://vivo.ufl.edu/individual/n3792478974,10.1063/1.2939123
http://vivo.ufl.edu/individual/n2144814303,10.1016/j.postharvbio.2015.08.009
http://vivo.ufl.edu/individual/n7141774815,10.1111/j.1744-7917.2012.01541.x
http://vivo.ufl.edu/individual/n4821900518,10.1152/ajpheart.00854.2014
http://vivo.ufl.edu/individual/n5114376961,10.1016/j.ijrobp.2008.06.1327
http://vivo.ufl.edu/individual/n6957377613,10.1088/0031-9155/57/10/3207
http://vivo.ufl.edu/individual/n7691883830,10.1097/JCN.0b013e31822f7971
http://vivo.ufl.edu/individual/n7071943778,10.1016/j.meegid.2015.03.001
http://vivo.ufl.edu/individual/n6497424791,10.1007/s10529-010-0453-z
http://vivo.ufl.edu/individual/n1224437104,10.1016/j.compag.2010.02.007
http://vivo.ufl.edu/individual/n361301977,10.1002/clc.7
http://vivo.ufl.edu/individual/n1073522346,10.1016/j.shpsa.2009.12.006
http://vivo.ufl.edu/individual/n8526535271,10.1614/WS-D-13-00173.1
http://vivo.ufl.edu/individual/n5535974565,10.2134/jeq2009.0375
http://vivo.ufl.edu/individual/n8802879802,10.1016/j.dnarep.2012.09.004
http://vivo.ufl.edu/individual/n4583980436,10.1504/EJIE.2015.068649
http://vivo.ufl.edu/individual/n9355041235,10.1111/j.1365-2486.2012.02791.x
http://vivo.ufl.edu/individual/n8170054803,10.1086/592593
http://vivo.ufl.edu/individual/n3886188301,10.1017/S0373463310000263
http://vivo.ufl.edu/individual/n3413514924,10.1152/ajpregu.90553.2008
http://vivo.ufl.edu/individual/n7658855071,10.1021/am200820a
http://vivo.ufl.edu/individual/n7580830557,10.1007/s11249-011-9860-0
http://vivo.ufl.edu/individual/n214376379,10.1111/j.2041-1014.2009.00549.x
http://vivo.ufl.edu/individual/n3054874422,10.1111/j.2041-1014.2009.00549.x
http://vivo.ufl.edu/individual/n7303897954,10.1109/TNET.2011.2106140
http://vivo.ufl.edu/individual/n4974622294,10.1016/j.vetpar.2015.10.022
http://vivo.ufl.edu/individual/n8816613843,10.1093/icesjms/fsv041
http://vivo.ufl.edu/individual/n8800469845,10.1016/j.jhydrol.2009.07.052
http://vivo.ufl.edu/individual/n1725460560,10.1177/0091217415612720
http://vivo.ufl.edu/individual/n3294765182,10.5194/acp-13-9695-2013
http://vivo.ufl.edu/individual/n371381491,10.1016/j.tig.2012.06.003
http://vivo.ufl.edu/individual/n2190717639,10.1063/1.3249754
http://vivo.ufl.edu/individual/n5645341854,10.1128/CMR.00092-12
http://vivo.ufl.edu/individual/n3967767316,10.1116/1.3553205
http://vivo.ufl.edu/individual/n3975107408,10.1007/s10875-013-9973-3
http://vivo.ufl.edu/individual/n835404951,10.2110/palo.2014.046
http://vivo.ufl.edu/individual/n5457357208,10.1145/1689239.1689240
http://vivo.ufl.edu/individual/n1904766073,10.1016/j.bpj.2008.12.3966
http://vivo.ufl.edu/individual/n8801681790,10.1007/s10113-012-0389-z
http://vivo.ufl.edu/individual/n2573766658,10.1371/journal.pntd.0002388
http://vivo.ufl.edu/individual/n336618046,10.1158/1538-7445.AM2014-2427
http://vivo.ufl.edu/individual/n77368258,10.1097/MPH.0b013e3181ec0ae5
http://vivo.ufl.edu/individual/n2883968189,10.1371/journal.pone.0080029
http://vivo.ufl.edu/individual/n547009224,10.1007/s10157-011-0458-5
http://vivo.ufl.edu/individual/n2119547338,10.1111/amet.12162
http://vivo.ufl.edu/individual/n1856780699,10.1111/j.1478-5153.2006.00192.x
http://vivo.ufl.edu/individual/n2541743438,10.1007/s11590-010-0255-1
http://vivo.ufl.edu/individual/n1793139558,10.1614/WT-D-11-00120.1
http://vivo.ufl.edu/individual/n7366087136,10.1002/adfm.201001175
http://vivo.ufl.edu/individual/n9755938222,10.1021/acs.biochem.5b01217
http://vivo.ufl.edu/individual/n939959613,10.1016/j.biortech.2007.03.066
http://vivo.ufl.edu/individual/n1136971416,10.1007/s10750-011-0983-y
http://vivo.ufl.edu/individual/n8705790614,10.1039/c3cc43395a
http://vivo.ufl.edu/individual/n4518842591,10.1603/ME12054
http://vivo.ufl.edu/individual/n9804099444,10.3945/ajcn.112.034736
http://vivo.ufl.edu/individual/n8256763819,10.1111/j.1478-3231.2010.02391.x
http://vivo.ufl.edu/individual/n7948476072,10.1016/j.jpeds.2015.02.045
http://vivo.ufl.edu/individual/n549220906,10.1016/j.jinsphys.2012.01.001
http://vivo.ufl.edu/individual/n1120447448,10.1515/CCLM.2000.022
http://vivo.ufl.edu/individual/n6140850139,10.2134/jeq2007.0532
http://vivo.ufl.edu/individual/n7183625243,10.1063/1.3103887
http://vivo.ufl.edu/individual/n263553545,10.1063/1.3103887
http://vivo.ufl.edu/individual/n151252531,10.1111/sltb.12169
http://vivo.ufl.edu/individual/n760274966,10.1029/2009GL038525
http://vivo.ufl.edu/individual/n3198580405,10.1016/j.theriogenology.2008.06.024
http://vivo.ufl.edu/individual/n5166745347,10.1111/j.1744-7917.2011.01490.x
http://vivo.ufl.edu/individual/n1918512524,10.1016/j.parkreldis.2008.02.006
http://vivo.ufl.edu/individual/n18346075,10.1016/j.parkreldis.2008.02.006
http://vivo.ufl.edu/individual/n1187737920,10.1002/glia.20730
http://vivo.ufl.edu/individual/n1785633245,10.1063/1.3664393
http://vivo.ufl.edu/individual/n7048900765,10.1016/j.oraloncology.2011.05.002
http://vivo.ufl.edu/individual/n7559934595,10.1021/acsami.5b03131
http://vivo.ufl.edu/individual/n1676122890,10.1006/pupt.2002.0361
http://vivo.ufl.edu/individual/n1361576386,10.1016/j.earlhumdev.2010.01.018
http://vivo.ufl.edu/individual/n6413879474,10.1287/isre.2014.0526
http://vivo.ufl.edu/individual/n6996425326,10.1016/j.neuroscience.2014.08.045
http://vivo.ufl.edu/individual/n5316149993,10.3140/bull.geosci.1155
http://vivo.ufl.edu/individual/n2097200906,10.1111/j.1471-0528.2007.01600.x
http://vivo.ufl.edu/individual/n5608234818,10.1109/TBME.2008.2008166
http://vivo.ufl.edu/individual/n2154715060,10.1371/journal.pgen.1003524
http://vivo.ufl.edu/individual/n6814843407,10.1016/j.jcrysgro.2009.05.003
http://vivo.ufl.edu/individual/n128364823,10.3810/pgm.2014.01.2735
http://vivo.ufl.edu/individual/n9858637012,10.1007/JHEP10(2015)144
http://vivo.ufl.edu/individual/n4887117106,10.1016/j.foreco.2008.10.041
http://vivo.ufl.edu/individual/n862443074,10.1016/j.exger.2005.01.008
http://vivo.ufl.edu/individual/n9993864213,10.1097/SLA.0b013e31824ba9da
http://vivo.ufl.edu/individual/n9484704764,10.1007/s10880-009-9160-0
http://vivo.ufl.edu/individual/n3619395707,10.1007/s10882-010-9200-6
http://vivo.ufl.edu/individual/n5355587129,10.2501/IJA-33-4-657-680
http://vivo.ufl.edu/individual/n152615,10.1016/j.urology.2012.01.016
http://vivo.ufl.edu/individual/n2612915596,10.1073/pnas.1216016110
http://vivo.ufl.edu/individual/n4159809065,10.1016/j.jembe.2014.08.020
http://vivo.ufl.edu/individual/n3751078566,10.1103/PhysRevD.90.044017
http://vivo.ufl.edu/individual/n778698458,10.1902/jop.2007.070015 
http://vivo.ufl.edu/individual/n8789349996,10.1016/j.bbagen.2010.05.002
http://vivo.ufl.edu/individual/n1942514510,10.1016/j.jnucmat.2008.10.003
http://vivo.ufl.edu/individual/n326623393,10.3171/2012.11.PEDS12556
http://vivo.ufl.edu/individual/n2989844588,10.1016/j.brainresbull.2010.02.007
http://vivo.ufl.edu/individual/n3570864418,10.1039/b811159f
http://vivo.ufl.edu/individual/n9921147604,10.1016/j.dss.2012.10.050
http://vivo.ufl.edu/individual/n4877885422,10.3354/meps10982
http://vivo.ufl.edu/individual/n7507251300,10.1038/gim.0b013e31822bead0
http://vivo.ufl.edu/individual/n1952499312,10.1017/S1537592711000880
http://vivo.ufl.edu/individual/n3799501832,10.1371/journal.pone.0145756
http://vivo.ufl.edu/individual/n1683262672,10.1371/journal.pone.0145756
http://vivo.ufl.edu/individual/n9259684972,10.1242/jeb.066324
http://vivo.ufl.edu/individual/n8051517062,10.1128/AEM.07823-11
http://vivo.ufl.edu/individual/n5190785934,10.1038/labinvest.2010.164
http://vivo.ufl.edu/individual/n1481212423,10.1002/cncr.21146
http://vivo.ufl.edu/individual/n4934447536,10.1002/clc.22145
http://vivo.ufl.edu/individual/n5374391794,10.1063/1.3647223
http://vivo.ufl.edu/individual/n7328081886,10.1182/blood-2009-06-230474
http://vivo.ufl.edu/individual/n1439740928,10.1186/ar4138
http://vivo.ufl.edu/individual/n3493493250,10.1007/s10533-008-9213-8
http://vivo.ufl.edu/individual/n4242493391,10.1057/fr.2011.53
http://vivo.ufl.edu/individual/n4522774,10.1039/c4tc01106f
http://vivo.ufl.edu/individual/n4347604668,10.1029/2010JC006157
http://vivo.ufl.edu/individual/n380951119,10.1001/archsurg.143.10.933
http://vivo.ufl.edu/individual/n317419361,10.1001/archsurg.143.10.933
http://vivo.ufl.edu/individual/n6890790752,10.1097/JGP.0b013e31820dcbcc
http://vivo.ufl.edu/individual/n9010820453,10.1186/1475-2875-9-150
http://vivo.ufl.edu/individual/n267297678,10.1186/1471-2164-12-294
http://vivo.ufl.edu/individual/n6979832225,10.1016/j.tripleo.2007.08.012
http://vivo.ufl.edu/individual/n9733088278,10.1016/j.disc.2007.09.044
http://vivo.ufl.edu/individual/n9157080942,10.1111/1462-2920.12503
http://vivo.ufl.edu/individual/n829566954,10.1016/j.jaut.2003.12.006
http://vivo.ufl.edu/individual/n494941263,10.1021/acs.nanolett.5b02502
http://vivo.ufl.edu/individual/n9940855332,10.1016/j.jalz.2008.08.005
http://vivo.ufl.edu/individual/n1563436080,10.1016/j.jalz.2008.08.005
http://vivo.ufl.edu/individual/n48450874,10.1007/s11240-008-9365-1
http://vivo.ufl.edu/individual/n9879197948,10.1039/c0mb00006j
http://vivo.ufl.edu/individual/n8959019683,10.1016/j.jamda.2009.09.014
http://vivo.ufl.edu/individual/n5781810969,10.1038/ncomms10084
http://vivo.ufl.edu/individual/n690023893,10.1038/ncomms10084
http://vivo.ufl.edu/individual/n4785093799,10.1016/j.ufug.2014.05.002
http://vivo.ufl.edu/individual/n5820415174,10.1016/j.margeo.2010.01.005
http://vivo.ufl.edu/individual/n9667693056,10.1021/jp901992p
http://vivo.ufl.edu/individual/n3899893693,10.3892/ol.2014.2570
http://vivo.ufl.edu/individual/n1471166660,10.1089/end.2012.0114
http://vivo.ufl.edu/individual/n3001692775,10.1021/tx900147g
http://vivo.ufl.edu/individual/n987978011,10.1016/j.pedhc.2008.10.008
http://vivo.ufl.edu/individual/n571883762,10.1016/j.pedhc.2008.10.008
http://vivo.ufl.edu/individual/n175013861,10.1177/1090198107311278
http://vivo.ufl.edu/individual/n4838640703,10.7717/peerj.1467
http://vivo.ufl.edu/individual/n5909883725,10.1142/S0217732308026522
http://vivo.ufl.edu/individual/n5653952878,10.1371/journal.pone.0133826
http://vivo.ufl.edu/individual/n8337263984,10.1007/s00339-015-9543-z
http://vivo.ufl.edu/individual/n5317026496,10.1063/1.2965529
http://vivo.ufl.edu/individual/n7831663177,10.3141/2124-15
http://vivo.ufl.edu/individual/n5508888468,10.1007/s13361-013-0692-z
http://vivo.ufl.edu/individual/n2331727531,10.1093/jxb/erq093
http://vivo.ufl.edu/individual/n2112451747,10.1093/jxb/erq093
http://vivo.ufl.edu/individual/n1540991726,10.1016/j.exer.2012.05.013
http://vivo.ufl.edu/individual/n5190027832,10.1071/CP12024
http://vivo.ufl.edu/individual/n40155272,10.1073/pnas.1004040107
http://vivo.ufl.edu/individual/n222807327,10.1111/btp.12040
http://vivo.ufl.edu/individual/n5124898532,10.1016/j.compag.2014.08.009
http://vivo.ufl.edu/individual/n4553402616,10.3389/fpls.2014.00763
http://vivo.ufl.edu/individual/n8724044196,10.1016/j.physbeh.2011.05.018
http://vivo.ufl.edu/individual/n2079373363,10.1111/jvs.12090
http://vivo.ufl.edu/individual/n1767163641,10.1056/NEJMoa1310669
http://vivo.ufl.edu/individual/n1132038167,10.1139/y06-052
http://vivo.ufl.edu/individual/n1006996778,10.1053/j.jfas.2008.11.012
http://vivo.ufl.edu/individual/n9865545951,10.1053/j.jfas.2008.11.012
http://vivo.ufl.edu/individual/n6747670097,10.3109/14992027.2012.705899
http://vivo.ufl.edu/individual/n1559333196,10.1634/stemcells.2005-0073
http://vivo.ufl.edu/individual/n8655779746,10.1016/j.cortex.2010.05.005
http://vivo.ufl.edu/individual/n2503286143,10.1097/ICO.0b013e3181f22cd9
http://vivo.ufl.edu/individual/n6407991222,10.1016/j.apmr.2011.08.045
http://vivo.ufl.edu/individual/n2306714309,10.2146/ajhp070336
http://vivo.ufl.edu/individual/n1032497016,10.1016/j.jpain.2006.05.009
http://vivo.ufl.edu/individual/n771831435,10.1016/j.ajodo.2004.04.028
http://vivo.ufl.edu/individual/n7754125244,10.1074/jbc.M707751200
http://vivo.ufl.edu/individual/n8802356903,10.1016/j.clineuro.2011.07.024
http://vivo.ufl.edu/individual/n3347850895,10.1016/j.athoracsur.2009.05.054
http://vivo.ufl.edu/individual/n2120407121,10.1080/17513758.2011.614697
http://vivo.ufl.edu/individual/n4965331123,10.1542/peds.2010-2094
http://vivo.ufl.edu/individual/n9874107364,10.1111/pce.12119
http://vivo.ufl.edu/individual/n2793782752,10.3109/14992027.2014.921340
http://vivo.ufl.edu/individual/n5308074304,10.1007/s12237-009-9220-6
http://vivo.ufl.edu/individual/n3026161578,10.1016/j.mcm.2010.11.060
http://vivo.ufl.edu/individual/n3253394288,10.1016/j.amjmed.2011.07.017
http://vivo.ufl.edu/individual/n3879010835,10.1111/j.1365-2788.2012.01614.x
http://vivo.ufl.edu/individual/n8157926297,10.1371/journal.pone.0031130
http://vivo.ufl.edu/individual/n254040772,10.1055/s-1999-14120
http://vivo.ufl.edu/individual/n6543895214,10.1007/s00339-007-4378-x
http://vivo.ufl.edu/individual/n3249235693,10.1016/j.agwat.2012.12.001
http://vivo.ufl.edu/individual/n918153471,10.1037/0021-9010.91.1.126
http://vivo.ufl.edu/individual/n1830821971,10.2337/dc05-2412
http://vivo.ufl.edu/individual/n6322051640,10.1016/j.neuroimage.2009.04.044
http://vivo.ufl.edu/individual/n6527625570,10.3417/2010023
http://vivo.ufl.edu/individual/n4391646806,10.1039/c0ja00063a
